pid,time,indexfinger.X,indexfinger.Y,indexfinger.Z,hand.X,hand.Y,hand.Z,forearm.X,forearm.Y,forearm.Z,upperarm.X,upperarm.Y,upperarm.Z,rightShoulder.X,rightShoulder.Y,rightShoulder.Z,hmd.X,hmd.Y,hmd.Z,leftShoulder.X,leftShoulder.Y,leftShoulder.Z,indexfingerO.X,indexfingerO.Y,indexfingerO.Z,handO.X,handO.Y,handO.Z,forearmO.X,forearmO.Y,forearmO.Z,upperarmO.X,upperarmO.Y,upperarmO.Z,rightShoulderO.X,rightShoulderO.Y,rightShoulderO.Z,hmdO.X,hmdO.Y,hmdO.Z,leftShoulderO.X,leftShoulderO.Y,leftShoulderO.Z
1,0.0,0.2571875,0.6270671,-0.2846585,0.2774027,0.8259876,-0.2567949,0.28240940000000003,0.9684290999999999,-0.29792640000000004,0.251227,1.166886,-0.33991059999999995,0.126494,1.314181,-0.3076698,0.010144799999999999,1.569893,-0.2527885,-0.11775830000000001,1.338341,-0.3531986,0.5114012,-0.3315156,-0.6090153,-0.08632719999999999,-0.1332814,-0.8055383,0.5840679,0.3365493,-0.3571645,0.4712943,0.3946024,-0.4484505999999999,-0.03768780000000001,0.35359809999999997,-0.053833900000000004,-0.12172480000000001,-0.0254243,7.37e-05,-0.1254532,-0.40123190000000003,-0.10286500000000001
1,6.596,0.870791,1.521657,-0.3386577,0.6907313,1.458123,-0.3356476,0.5551879,1.455181,-0.3836216,0.35145279999999995,1.4415,-0.4079508,0.1322921,1.341191,-0.3389618,0.0002618,1.573097,-0.2431632,-0.1292328,1.335528,-0.3218641,0.0538246,0.1334808,0.25172310000000003,0.053672300000000006,-0.5879388000000001,-0.7610701,-0.13841610000000001,0.6284589,-0.2588178,-0.1695526,0.5990721999999999,-0.16167879999999998,-0.045869,0.42666859999999995,-0.007804899999999999,-0.1258228,-0.053952099999999996,0.0108183,-0.1018915,-0.3529788,-0.07857130000000001
1,11.7716,0.1127,1.51499,0.35918629999999996,0.12236,1.456242,0.1801735,0.1604556,1.4535049999999998,0.0362745,0.1737704,1.435661,-0.16965750000000002,0.2030472,1.527293,0.0487681,-0.0051547,1.578139,-0.2818332,-0.1293934,1.336344,-0.3749074,-0.10632219999999999,-0.6021,0.2861067,0.5729898,-0.5650398,-0.5475281999999999,0.056528800000000004,-0.043475099999999996,-0.12881869999999998,-0.0147934,-0.0759874,-0.1590363,0.49975299999999995,-0.6911439,0.46599579999999996,-0.104361,-0.0117559,0.0032823,-0.11951179999999999,-0.45736720000000003,-0.0783302
2,0.0,0.2045899,0.7369730999999999,-0.2412946,0.2294862,0.9239930000000001,-0.26891420000000005,0.2154308,1.10134,-0.29406679999999996,0.19307929999999998,1.301611,-0.33875720000000004,0.072064,1.488905,-0.302232,-0.0472836,1.704551,-0.16303420000000002,-0.1653073,1.478879,-0.297953,0.392827,-0.43846620000000003,-0.5280011,-0.0070337,-0.16366329999999998,-0.732865,0.6940346,0.1492983,-0.06756960000000001,0.5314135999999999,0.3664848,-0.39291170000000003,0.15125170000000002,-0.15195079999999997,0.0371533,0.2982259,0.0402293,-0.0214937,-0.1211627,-0.3361333,-0.030467
2,5.31,0.8453699,1.629429,-0.2583012,0.6603076999999999,1.618615,-0.29152259999999997,0.47672129999999996,1.60855,-0.3148174,0.2708477,1.584473,-0.3355975,0.0348162,1.5250569999999999,-0.2833119,0.0251725,1.736792,-0.2136742,-0.1988647,1.463296,-0.2453995,-0.0094249,0.0074502,0.0640269,0.0479452,-0.6676300999999999,-0.7396166000000001,0.0310748,0.6860949000000001,-0.0214572,-0.11891030000000001,0.5981618000000001,-0.11979589999999998,0.13360970000000003,-0.1778294,-0.0922796,0.0935908,0.557615,-0.11735739999999999,-0.09375069999999999,-0.3093205,0.026950799999999997
2,9.519,-0.0070768,1.687395,0.4764168,0.020360200000000002,1.674986,0.2917143,0.0452722,1.6483560000000002,0.10243050000000001,0.0739792,1.600636,-0.10815899999999999,0.0184727,1.531023,-0.2783756,-0.059485300000000005,1.75128,-0.2074848,-0.185247,1.477357,-0.329261,-0.06858819999999999,-0.6876251,0.0555352,0.5461991999999999,-0.5184441,-0.5083739,-0.017668,-0.0426059,0.0515058,-0.0335795,-0.16423139999999997,-0.11734080000000001,0.05955740000000001,0.1661562,-0.0727811,0.1296318,0.044689599999999996,-0.05365219999999999,-0.10125219999999999,-0.44796320000000006,-0.0250068
3,0.0,0.2802737,0.6359188,-0.310508,0.31058309999999995,0.8066781,-0.343484,0.29096869999999997,0.9729790999999999,-0.3620485,0.2666936,1.157892,-0.4033516,0.1632988,1.306767,-0.3734241,0.0578931,1.5742530000000001,-0.2972349,-0.0759351,1.299124,-0.35980359999999995,-0.43778829999999996,0.4749692,0.47261400000000003,-0.28088240000000003,-0.1986224,-0.6720154,-0.6420402,-0.22971570000000002,0.1733491,0.5591577,0.3535472,-0.3894262,-0.0958123,0.23857899999999999,-0.0224139,0.0026686999999999995,0.0926303,-0.0115805,-0.1014261,-0.3587656,-0.0373279
3,6.7522,0.9088255999999999,1.405835,-0.39683090000000004,0.7320260000000001,1.40103,-0.4129956,0.5630890000000001,1.414595,-0.41040010000000005,0.37093740000000003,1.40561,-0.4194907,0.1582883,1.335326,-0.37231420000000004,0.0422109,1.57892,-0.2850946,-0.0872914,1.300082,-0.3467535,0.0433134,0.0847439,0.0326339,-0.1417444,-0.8105163000000001,-0.5683052,0.0754392,-0.6891568,0.149614,-0.1541144,0.6130225,-0.1899593,-0.07076389999999999,0.2378355,0.0633299,-0.0201009,0.068188,-0.0061792,-0.0852561,-0.40109520000000004,-0.027352699999999997
3,11.5615,0.1839596,1.490485,0.3033019,0.2162726,1.4719,0.12649749999999998,0.2062232,1.458466,-0.0481204,0.21440120000000001,1.4183540000000001,-0.23767800000000003,0.14491379999999998,1.3454059999999999,-0.3726281,0.07703360000000001,1.568632,-0.3203063,-0.0702956,1.306746,-0.385388,-0.0352281,0.6696715,-0.1951105,0.3639779,-0.5612172,-0.5315263000000001,0.0245458,-0.015005200000000002,0.017274900000000003,-0.0365386,-0.0797077,-0.0867876,-0.0464751,-0.04911,0.09795980000000001,0.0318677,0.0935671,-0.029661200000000002,-0.10429189999999999,-0.444154,-0.031208299999999998
4,0.0,0.21983809999999998,1.171715,-0.3370797,0.28121979999999996,0.8559756,-0.36462,0.2506778,0.9974544,-0.388519,0.19304739999999998,1.186706,-0.4050901,0.09549980000000001,1.330147,-0.3688749,-0.0326564,1.5539450000000001,-0.2551447,-0.14475420000000003,1.316912,-0.3217748,-0.3543663,0.4309454000000001,-0.5880026999999999,0.3246633,0.192275,0.7964991,-0.5463821,-0.4278705,0.31983959999999995,0.4837112,0.42971220000000004,-0.4316572,-0.07335169999999999,0.16050910000000002,-0.0348201,0.107675,0.0087471,0.038000900000000004,0.07636210000000002,0.13271889999999997,0.0766076
